tweet_id,timestamp,name,predicted_dog_breed,prediction_confidence,dog_stage,rating_numerator,rating_denominator,favorite_count,retweet_count,text,tweet_url,image_url
892177421306343426,2017-08-01 00:17:27+00:00,Tilly,Chihuahua,0.323581,none,13.0,10.0,31258.0,5705.0,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,2017-07-31 00:18:03+00:00,Archie,Chihuahua,0.716012,none,12.0,10.0,23536.0,3781.0,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891327558926688256,2017-07-29 16:00:24+00:00,Franklin,Basset,0.555712,none,12.0,10.0,37746.0,8489.0,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,2017-07-29 00:08:17+00:00,None,Chesapeake Bay Retriever,0.425595,none,13.0,10.0,19007.0,2841.0,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,2017-07-28 16:27:12+00:00,Jax,Appenzeller,0.34170300000000003,none,13.0,10.0,11071.0,1851.0,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,2017-07-28 00:22:40+00:00,None,Pomeranian,0.566142,none,13.0,10.0,61063.0,17220.0,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,2017-07-27 16:25:51+00:00,Zoey,Irish Terrier,0.487574,none,13.0,10.0,26176.0,3918.0,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,2017-07-26 15:59:51+00:00,Cassie,Pembroke,0.511319,doggo,14.0,10.0,29897.0,6704.0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,2017-07-26 00:31:25+00:00,Koda,Samoyed,0.957979,none,13.0,10.0,28791.0,6691.0,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,2017-07-25 16:11:53+00:00,Bruno,French Bulldog,0.377417,none,13.0,10.0,26205.0,4557.0,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
